ecommerce,category,original_id,name,price,original_price,discount,discount_rate
TIKI,nha-sach-tiki,176909221,"Ngôi Nhà Bên Bờ Biển Xanh Thẳm",124000,174000,50000,29
TIKI,nha-sach-tiki,2429811,"Tư Duy Phản Biện",56100,85000,28900,34
TIKI,nha-sach-tiki,130996082,"Bồ Câu Bay Đi Tìm Bà",56100,77000,20900,27
TIKI,nha-sach-tiki,52785564,"Dịch Hạch (Nobel Văn Chương 1957)",93700,129000,35300,27
TIKI,nha-sach-tiki,11371249,"Chuyện Con Mèo Và Con Chuột Bạn Thân Của Nó - Tái Bản",30100,39000,8900,23
TIKI,nha-sach-tiki,111580006,"Sách Muôn Kiếp Nhân Sinh 2 (Khổ Nhỏ) - Nguyên Phong",86000,148000,62000,42
TIKI,nha-sach-tiki,159004131,"Semantic Error – Lỗi Logic (Tập 1) - Bản thường (Tặng Kèm 01 Bookmark + 01 Postcard)",183000,259000,76000,29
TIKI,nha-sach-tiki,195357772,"Máy Tính CASIO FX-880BTG - Màu Đen",696000,800000,104000,13
TIKI,nha-sach-tiki,52805060,"Chúa Ruồi - Tiểu Thuyết (Nobel Văn Chương 1983)(Tái Bản 2020)",63700,88000,24300,28
TIKI,nha-sach-tiki,22881852,"English Grammar in Use Book w Ans",160200,198000,37800,19
TIKI,nha-sach-tiki,50751279,"Vui Vẻ Không Quạu Nha - Tản Văn",49200,69000,19800,29
TIKI,nha-sach-tiki,57761618,"Vụ Án Mạng Ở Lữ Quán Kairotei",84100,123000,38900,32
TIKI,nha-sach-tiki,66619715,"Sách Vị Tu Sĩ Bán Chiếc Ferrari (Tái Bản)",68100,98000,29900,31
TIKI,nha-sach-tiki,162205263,"Những Đồ Vật Có Linh Hồn - Bản Thường (Tặng Kèm 1 Bookmark)",106000,149000,43000,29
TIKI,nha-sach-tiki,147988185,"Combo 2 Cuốn "Hiểu Hết" : How Business Works - Hiểu Hết Về Kinh Doanh + How Money Works - Hiểu Hết Về Tiền",469000,680000,211000,31
TIKI,nha-sach-tiki,157240665,"Ra Bờ Suối Ngắm Hoa Kèn Hồng (Truyện Dài-Nguyễn Nhật Ánh) - Bìa Mềm (Màu Hồng) (Tặng Kèm Bookmark Bồi Hai Mặt, Thiệp Trái Tim In Bài Thơ Của Tác Giả)",97400,145000,47600,33
TIKI,nha-sach-tiki,196923452,"Birdmen - Tập 7",30000,30000,0,0
